Cell type proposal,Catmaid name,CATMAID skid,Latest segment IDs,Latest update,Starting coordinate,Supervoxel ID,Root ID,Root ID updated,Proofreader,Ongoing,To split,Completed,# Seg IDs,Comments,Comments PT 2,Backbone coordinate
LBU,ER_L_LBU_142037,142037,576460752975471499,24/07/2025,"28760, 22296, 4220",95956578779275274,576460752975471499,2026-03-19,Griffin,FALSE,FALSE,TRUE,0,extended in CATMAID (SH),,
LBU,ER_L_LBU_62944,62944,576460753232990318,08/01/2025,"28806, 21233, 4174",95921119529303306,576460753232990318,2026-03-19,Ines,FALSE,FALSE,TRUE,0,,,
LBU,ER_L_LBU_62953,62953,576460752946183800,23/07/2025,"28222, 22338, 4356",94830953750358204,576460752946183800,2026-03-19,Emile,FALSE,FALSE,TRUE,0,,,
LBU,ER_L_LBU_160486,160486,576460753129342322,22/11/2024,"28699, 22761, 4294",95974170965361216,576460752981719772,2026-03-19,Ines,FALSE,FALSE,TRUE,0,,looks finished. maybe more branches in CATAID skeleton,
LBU,ER_L_LBU_62562,62562,576460752971564449,03/07/2024,"28682, 24430, 4159",96026672645564885,576460753034649647,2026-03-19,Stanley,FALSE,FALSE,TRUE,0,,,
LBU,ER_L_LBU_125560,125560,"576460753045102854, 576460753087424555",24/07/2025,"28425, 24567, 3973",94917815168977562,576460753180493394,2026-03-19,Griffin,FALSE,FALSE,TRUE,1,,,
MBUd,ER_L_MBUd_125523,125523,576460753128455242,28/05/2025,"28562, 23227, 4039",95991213395560204,576460753128455242,2026-03-19,Saroja,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5661535502336000,,
MBUd,ER_R_MBUd_189608,189608,576460753015462792,28/07/2025,"28200, 24257, 4200",94900772738748627,576460753015462792,2026-03-19,Georgia/Stanley,FALSE,FALSE,TRUE,0,first pass done,,
MBUd,ER_L_MBUd_125281,125281,576460753150337181,15/05/2025,"28550, 24093, 4060",96026397767655113,576460753150337181,2026-03-19,Kate,FALSE,FALSE,TRUE,0,"advanced, but likely contains mistakes, check skeleton",,
MBUd,ER_L_MBUd_33811,33811,"576460752618319134,576460752859894411,576460752561495309,576460752365124542,576460753090513013,576460752803923173,576460752373100303,576460752905641956,576460752820009295,576460753068624519,576460752516010746,576460752683033086,576460752775014631,576460752805005797,576460753074807483,576460752820626511,576460752507817542,576460752489753052,576460752682749787,576460752756159992,576460752770897106,576460752847154349,576460752362842251,576460752823437391,576460752623142165,576460752804595429,576460752611833106,576460752555058698,576460752745121617,576460752543108095,576460752711719197,576460752892971248,576460753033421871,576460753180684984,576460753068689287,576460752412271696,576460752901862355,576460752528984067,576460752560547597,576460752895578653,576460753122530764,576460753000256920,576460752774821607,576460752507138835,576460752468970700,576460753090570101,576460752550023263,576460753115136290,576460752819667023,576460752950055155,576460752802276168,576460752889476215,576460752955121867,576460752515980026,576460752344480023,576460753063947379,576460752427020812,576460752542870728,576460752530573571,576460752920913246,576460752674557530,576460752516639994,576460752643955913,576460752783405445,576460752596172119,576460753058540610,576460752851974493,576460752645724655,576460752855646557,576460753044622133,576460753115134242,576460752425620854,576460753068697991,576460752331740454,576460753139957853,576460752566064170,576460752627835398,576460752364349366,576460752725557797,576460753059274463,576460752592687817,576460752974395275,576460752704536871,576460752472422604,576460753047471714,576460752624259130,576460752643355081,576460752552631818,576460753060629826,576460752851453250,576460752580693152,576460753047530338,576460753060225309,576460752331146278,576460752702133287,576460753059686941,576460752965282294,576460752393197657,576460752365005494,576460752480723979,576460752965311222,576460752762400542,576460752800949588,576460752525773737,576460752949303539,576460753055261311,576460752738124029,576460752924744387,576460752783976325,576460753059684125,576460752702752039,576460752783989637,576460753183986387,576460752529516291,576460752748937664,576460752776535087,576460753000145304,576460752331609894,576460752514592506,576460753195941832,576460752359535641,576460752761598799,576460752514362106,576460753121125068,576460753057900675,576460752305120456,576460752960410815,576460753047531618,576460752744714833,576460752749992696,576460752359875097,576460752554553098,576460752542026184,576460752674501287,576460752801847380,576460753075619026,576460752575409577,576460752559163524,576460752749975032,576460752726027045,576460753140826828,576460753057913219,576460752801372756,576460752330991398,576460752635058189,576460752513843445,576460753147910484,576460752908000228,576460753121196236,576460752353450031,576460752801071956,576460752599615591,576460752383835896,576460753115135522,576460752565140522,576460752802031432,576460753120720332,576460753043547513,576460752458302648,576460752802295124,576460752948162291,576460752909248228,576460752799802184,576460752515260917,576460753047325538,576460752956146635,576460752366206142,576460752804870629,576460753058515266,576460752451962191,576460752994353331,576460752701669415,576460752761615951,576460753114557681,576460753131140847,576460753131180783,576460752908934036,576460752783828869,576460752803192404,576460752674911322,576460752515984890,576460752559163268,576460752540348104,576460752453663823,576460752691909312,576460753120997068,576460752974283915,576460753074628275,576460752314769458,576460753100176508,576460752400265497,576460752581282850,576460753114557937,576460752339063157,576460753133814259,576460752750290493,576460752364785547,576460752710691727,576460752393978713,576460753100109436,576460752355543087,576460752804251109",10/06/2025,"28409, 23897, 4074",94882905674780011,576460753150337181,2026-03-19,Georgia/Atticus,FALSE,FALSE,TRUE,201,same cell as line above....,,
MBUd,ER_L_MBUd_129538,129538,576460753117580268,28/07/2025,"28544, 24986, 4064",96061582139751876,576460753117580268,2026-03-19,Stanley,FALSE,FALSE,TRUE,0,nearly done,,
MBUd,ER_R_MBUd_184355,184355,576460753181545322,10/04/2025,"28949, 21767, 4243",95938986593248749,576460753181545322,2026-03-19,,FALSE,FALSE,TRUE,0,,,
MBUd,ER_R_MBUd_63046,63046,576460753152629600,24/09/2025,"28158, 22097, 3814",94829579360800935,576460753152629600,2026-03-19,Julian & Griffin,FALSE,FALSE,TRUE,0,,,
MBUd,ER_R_MBUd_189306,189306,576460753086869527,10/10/2024,"28879, 23267, 4319",95992038029273136,576460753086869527,2026-03-19,Stanley,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5101312760872960,,
MBUd,ER_L_MBUd_129326,129326,576460753102073485,10/10/2024,"28115, 21363, 4143",94795219622452089,576460753102073485,2026-03-19,Stanley,FALSE,FALSE,TRUE,0,finished,,
MBUv,ER_L_MBUv_141300,141300,576460753181933418,30/04/2025,"28302, 21801, 4045",94812536930588637,576460753181933418,2026-03-19,Paulo/Atticus,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5168810478796800,"Same cell or differemt cells at 27973, 26283, 3701? Lots of tough areas and splitting, might have missed something.",
MBUv,ER_L_MBUv_125291,125291,576460753211494826,10/04/2025,"28127, 23428, 3834",94864763732894248,576460753211494826,2026-03-19,Paulo,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5072167003750400,"More carving needed at 22574, 23691, 4146 (getting split error)",
MBUv,ER_R_MBUv_47185,47185,576460752973963619,10/4/25,"28264, 22169, 4008",94830129116614102,576460752973963619,2026-03-19,Sarah/Stanley,FALSE,FALSE,TRUE,0,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6235455604391936,,
MBUv,ER_L_MBUv_125099,125099,576460752952169814,10/04/2025,"28583, 21188, 4277",95921394407217236,576460752952169814,2026-03-19,Paulo,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5735189829386240,,
MBUv,ER_L_MBUv_125041,125041,576460752987868604,10/04/2025,"27716, 22346, 3858",93703679453988149,576460752987868604,2026-03-19,Paulo,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5661145264291840,check skeleton,
MBUv,ER_L_MBUv_125261,125261,576460752943174870,10/04/2025,"27537, 22819, 3955",93721546517932702,576460752943174870,2026-03-19,Stanley,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5679559265484800,,
MBUv,ER_R_MBUv_64133,64133,576460753130265427,10/04/2025,"27567, 24762, 4024",93792190140002326,576460753130265427,2026-03-19,Paulo/Stanley,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5695519967936512,some chunked endings not done,
MBUv,ER_L_MBUv_64154,64154,576460753161872260,04/02/2025,"27304, 24309, 4166",92648972925064416,576460753161872260,2026-03-19,Paulo/Stanley,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5759696820502528,,
MBUv,ER_L_MBUv_125035,125035,576460752987868860,16/01/2025,"27951, 25424, 3958",93809507448168184,576460753126564557,2026-03-19,Paulo,FALSE,FALSE,TRUE,0,,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5731633034428416,
MBUv,ER_L_MBUv_125189,125189,"576460753031772744,576460753206811184",12/01/2025,"27865, 25035, 3912",93809507448135607,576460753031772744,2026-03-19,Paulo,FALSE,FALSE,TRUE,1,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5758244140089344,one none type error,
MBUv,ER_L_MBUv_125199,125199,576460753130698395,07/01/2025,"27771, 23602, 3928",93756730890008763,576460753131393701,2026-03-19,,FALSE,FALSE,TRUE,0,,Same as ER_TL_L_MBUv_SH_ES_25?,
MBUv,ER_R_MBUv_63126,63126,576460753097228070,01/01/2025,"28685, 23037, 3976",95990938517656075,576460753097228070,2026-03-19,Paulo,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5631749434376192,"26024, 19018, 3996; CATMAID will help locating branches in column closer to midline",
MBUv,ER_L_MBUv_125250,125250,"576460753128778871,576460753130698395",04/12/2024,"27805, 23502, 3922",93756730890005310,576460753131393701,2026-03-19,Paulo,FALSE,FALSE,TRUE,1,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5113326052835328,"PH: A bit unsure about the fragment starting at 24944, 25563, 3346 ",
MBUv,ER_L_MBUv_140105,140105,"576460753149731890,576460753198564955,576460752689582696,576460752833973726,576460752757738293",26/11/2024,"28353, 21900, 4035",94812536930584302,576460753181933418,2026-03-19,Nina/Stanley,FALSE,FALSE,TRUE,4,in progress (marked as complete),,
MBUv,ER_L_MBUv_125194,125194,576460753043137513,26/11/2024,"27808, 22971, 3797",93738588948191036,576460753109564660,2026-03-19,Paulo,FALSE,FALSE,TRUE,0,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5669506760310784,,
MBUv,ER_L_MBUv_125025,125025,576460753001015108,07/11/2024,"27857, 23772, 3803",93756456012088469,576460753001015108,2026-03-19,Paulo,FALSE,FALSE,TRUE,0,"26465, 24510, 4489 and 26116, 27219, 3306 and 24226, 25488, 4153 (having a hard time spliting this last cluster)",https://neuromancer-seung-import.appspot.com/?json_url=https://global-2023d.connectomics.braininbrain.org/nglstate/api/v1/5764922185089024,
MBUv,ER_L_MBUv_65369,65369,576460753132068380,11/07/24,"28159, 24514, 3692",94916990535242448,576460753021196756,2026-03-19,Nina,FALSE,FALSE,TRUE,0,,,
MBUv,ER_L_MBUv_65375,65375,576460753204514974,11/07/2024,"28503, 20975, 4157",94795219622462170,576460753204514974,2026-03-19,Stanley,FALSE,FALSE,TRUE,0,,,
MBUv,ER_L_MBUv_63018,63018,576460753122988169,09/02/2024,"28668, 21602, 3926",95938161959513605,576460753122988169,2026-03-19,Nina,FALSE,FALSE,TRUE,0,"as good as it gets, not more skeleton diable",,
LAL,ER_L_LAL_125419,125419,576460752986504355,,"27749, 21330, 4093",93669044837757549,576460752986504355,19/03/2026,,FALSE,FALSE,TRUE,,,,
LAL,ER_L_LAL_125424,125424,576460753123714953,,"26828, 25096, 3853",91557432756578875,576460753123714953,19/03/2026,,FALSE,FALSE,TRUE,,extended in catmaid (ES),,
LAL,ER_L_LAL_125429,125429,"576460753055793794, 576460753061052205",,"28372, 25150, 4040",94935682232910902,576460753055793794,19/03/2026,,FALSE,FALSE,TRUE,,extended in catmaid (ES),,
LAL,ER_L_LAL_125434,125434,576460753150253874,,"28571, 21850, 4239",95938986593246256,576460753150253874,19/03/2026,,FALSE,FALSE,TRUE,,extended in catmaid (ES),,
LAL,ER_L_LAL_143002,143002,"576460752951706055, 576460753002796184, 576460753063259714",,"28448, 22967, 4295",94865863244555389,576460753063259714,19/03/2026,,FALSE,FALSE,TRUE,,in progress in catmaid (ES),,
LAL,ER_L_LAL_125444,125444,576460753087659515,,"28241, 25321, 3969",94935407355020473,576460753087659515,2026-03-19,,FALSE,FALSE,TRUE,,extended in catmaid (ES),,
LAL,ER_L_LAL_148312,148312,576460752970391366,,"28458, 21650, 4304",94813361564288738,576460752970391366,19/03/2026,,FALSE,FALSE,TRUE,,needs to be extended in catmaid,,
